Produto,Variacao_Percentual
Arroz,"-2,54"
Feijão Preto,"3,77"
Açúcar,"2,14"
Sal,"-3,56"
Café,"4,33"
Leite,"-1,74"
Pão de Forma,"16,36"
Óleo,"-1,23"
Ovo,"18,99"
Batata,"-35,8"
Laranja,"4,11"
Limão,"-18,28"
Banana,0
Peito de Frango,"2,54"
Coxa de Frango,"15,19"
Alcatra,"0,84"
Coxão Mole,"13,62"
Pernil,"-1,64"
Cebola,"26,27"
Bisteca,"-0,35"
Filé de Merluza,"4,39"
Tilápia,"-5,98"
Alface,"-11,37"
Tomate,"64,93"
Alho,"-7,81"
Refrigerante,"0,49"
Chocolate,"24,95"
Margarina,"-7,06"
Maçã,"-5,62"
Achocolatado,"-4,03"
Feijão Carioca,"-8,54"
Molho de Tomate,"2,04"
Macarrão Tipo 8,"2,04"
Papel Higiênico,"-4,61"
Pasta de dente,-5
Detergente,"-1,38"
Sabonete,"-6,71"
Papel Toalha,"-34,55"
Sabão em Pó,"0,89"
Shampoo,"-0,11"
Álcool,"16,48"
