Produto,Variacao_Percentual
Arroz,-4.89
Feijão Preto,-0.96
Açúcar,4.48
Sal,-4.17
Café,5.98
Leite,2.37
Pão de Forma,-14.91
Óleo,6.96
Ovo,0.57
Batata,7.28
Laranja,1.39
Limão,-16.88
Banana,7.57
Peito de Frango,-0.32
Coxa de Frango,-10.54
Alcatra,11.56
Coxão Mole,3.12
Pernil,52.06
Cebola,12.06
Bisteca,10.22
Filé de Merluza,3.31
Tilápia,4.58
Alface,19.39
Tomate,3.54
Alho,2.7
Refrigerante,6.78
Chocolate,-17.91
Margarina,11.29
Maçã,1.74
Achocolatado,3.89
Feijão Carioca,0.81
Molho de Tomate,-0.4
Macarrão Tipo 8,0.51
Papel Higiênico,6.78
Pasta de dente,9.2
Detergente,5.31
Sabonete,5.03
Papel Toalha,-15.01
Sabão em Pó,5.23
Shampoo,2.68
Álcool,-15.27
